no.      longtitude  latitude   distance  l-width  r-width  l-height  r-height  l-minmax-slope  r-minmax-slope  l-max-slope  r-max-slope  l-area  r-area
  2_50    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_51    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_52    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_53    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_54    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_55    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_56    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_57    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_58    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_59    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_60    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_61    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_62    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_63    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_64    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_65    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_66    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
avg_  2   -43.70472  28.16353     5.150     792      1752      399       514        26.5            16.5           39.7          30.9      0.1444     0.4077
std_  2   -43.70472  28.16353     5.150     156       284      101       134         3.7             3.8            5.7           7.0      0.0658     0.1320
  3_1     -43.74342  28.18708     9.759       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  3_2     -43.74342  28.18708     9.759       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  3_3     -43.74342  28.18708     9.759       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  3_4     -43.74342  28.18708     9.759       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  3_5     -43.74342  28.18708     9.759       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  3_6     -43.74342  28.18708     9.759       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  3_7     -43.74342  28.18708     9.759       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  3_8     -43.74342  28.18708     9.759       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  3_9     -43.74342  28.18708     9.759    1350      1200      333       296        13.8            13.9           22.0          26.4      0.1383     0.1980
  3_10    -43.74342  28.18708     9.759    1200      1200      408       362        18.8            16.8           27.2          21.6      0.2071     0.2388
  3_11    -43.74342  28.18708     9.759    1050      1200      424       342        22.0            15.9           26.0          23.5      0.2121     0.2266
  3_12    -43.74342  28.18708     9.759    1050      1200      417       303        21.7            14.2           28.8          24.1      0.2156     0.2140
  3_13    -43.74342  28.18708     9.759    1050      1200      404       260        21.1            12.2           30.3          21.4      0.2206     0.1938
  3_14    -43.74342  28.18708     9.759    1200      2400      425       353        19.5             8.4           31.6          30.2      0.2437     0.4848
  3_15    -43.74342  28.18708     9.759    1650      1950      468       377        15.8            10.9           30.3          30.8      0.4504     0.3688
  3_16    -43.74342  28.18708     9.759    1650      1950      492       393        16.6            11.4           34.6          33.0      0.4097     0.3533
  3_17    -43.74342  28.18708     9.759    1650      1950      470       355        15.9            10.3           37.0          28.9      0.3720     0.3260
  3_18    -43.74342  28.18708     9.759    1050       600      334       157        17.7            14.6           39.2          27.7      0.1918     0.0448
  3_19    -43.74342  28.18708     9.759    1200       450      310       129        14.5            16.0           44.3          22.7      0.2293     0.0208
  3_20    -43.74342  28.18708     9.759    1800       450      455       133        14.2            16.5           35.7          24.4      0.4662     0.0286
  3_21    -43.74342  28.18708     9.759    1800       450      471       136        14.6            16.8           34.8          26.6      0.4746     0.0302
  3_22    -43.74342  28.18708     9.759    1800      1050      446       164        13.9             8.9           33.6          22.4      0.4632     0.0739
  3_23    -43.74342  28.18708     9.759    1200      1500      449       151        20.5             5.7           36.8          14.9      0.1970     0.1051
  3_24    -43.74342  28.18708     9.759    1200      2400      461       242        21.0             5.8           35.2          19.6      0.2031     0.2618
  3_25    -43.74342  28.18708     9.759    1350      1650      480       182        19.6             6.3           40.7          15.9      0.2295     0.1420
  3_26    -43.74342  28.18708     9.759     750      1650      387       165        27.3             5.7           37.1          18.4      0.1361     0.1454
  3_27    -43.74342  28.18708     9.759     750      1800      391       137        27.5             4.3           42.6          17.2      0.1448     0.1204
  3_28    -43.74342  28.18708     9.759    1350      1800      489       135        19.9             4.3           35.8          12.0      0.2598     0.1318
  3_29    -43.74342  28.18708     9.759    1350      1800      491       141        20.0             4.5           38.0          15.8      0.2733     0.1726
  3_30    -43.74342  28.18708     9.759    1800      1050      524       120        16.2             6.5           34.3          13.4      0.4330     0.0725
  3_31    -43.74342  28.18708     9.759    1650      1050      532       139        17.9             7.5           34.5          16.3      0.4333     0.0899
  3_32    -43.74342  28.18708     9.759    1650      1050      531       152        17.9             8.2           29.9          20.0      0.4474     0.1134
  3_33    -43.74342  28.18708     9.759    1800      2250      532       258        16.5             6.5           27.1          22.1      0.5362     0.2674
  3_34    -43.74342  28.18708     9.759    1800      1950      518       245        16.1             7.2           33.0          19.3      0.5346     0.2645
  3_35    -43.74342  28.18708     9.759    2550      1650      553       251        12.2             8.7           31.8          19.2      0.7800     0.2040
  3_36    -43.74342  28.18708     9.759    2700      1500      568       265        11.9            10.0           31.9          20.1      0.8755     0.1747
  3_37    -43.74342  28.18708     9.759    2400      1650      573       291        13.4            10.0           31.4          24.2      0.7973     0.2483
  3_38    -43.74342  28.18708     9.759    2400      1650      542       298        12.7            10.2           35.8          25.8      0.7361     0.2668
  3_39    -43.74342  28.18708     9.759    2400       450      520        95        12.2            11.9           34.1          14.9      0.6913     0.0251
  3_40    -43.74342  28.18708     9.759    2400      1950      509       325        12.0             9.5           36.3          17.6      0.6630     0.2936
  3_41    -43.74342  28.18708     9.759    2400      1950      519       349        12.2            10.1           40.1          17.6      0.6969     0.3321
  3_42    -43.74342  28.18708     9.759    2250      2100      535       372        13.4            10.0           39.8          17.4      0.6541     0.4137
  3_43    -43.74342  28.18708     9.759    1950      1050      521       211        15.0            11.4           42.9          17.0      0.6282     0.1304
  3_44    -43.74342  28.18708     9.759    1950      1050      502       192        14.4            10.4           39.6          14.6      0.6254     0.1154
  3_45    -43.74342  28.18708     9.759    1950      1050      522       200        15.0            10.8           36.7          15.5      0.6423     0.1072
  3_46    -43.74342  28.18708     9.759    1950      1050      524       197        15.0            10.6           36.9          18.2      0.6392     0.0872
  3_47    -43.74342  28.18708     9.759    1950       750      500       198        14.4            14.8           37.1          23.3      0.5995     0.0768
  3_48    -43.74342  28.18708     9.759    1950       750      491       194        14.1            14.5           31.9          26.8      0.5941     0.0662
  3_49    -43.74342  28.18708     9.759    1800      1050      481       178        15.0             9.6           32.5          18.9      0.5344     0.0753
  3_50    -43.74342  28.18708     9.759    1650      1200      452       188        15.3             8.9           27.3          18.9      0.4261     0.1090
  3_51    -43.74342  28.18708     9.759    1350      1500      419       200        17.2             7.6           31.7          22.9      0.2468     0.1693
  3_52    -43.74342  28.18708     9.759       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  3_53    -43.74342  28.18708     9.759    1200      2400      417       333        19.2             7.9           29.5          15.7      0.2548     0.4240
  3_54    -43.74342  28.18708     9.759    1650      2250      414       338        14.1             8.6           35.5          17.5      0.3262     0.4187
  3_55    -43.74342  28.18708     9.759    1800      1350      438       184        13.7             7.8           25.8          13.9      0.3611     0.1355
  3_56    -43.74342  28.18708     9.759    1500      1650      447       184        16.6             6.4           29.3          16.9      0.2154     0.1971
  3_57    -43.74342  28.18708     9.759    1500      1500      465       188        17.2             7.1           33.5          15.8      0.2627     0.1468
  3_58    -43.74342  28.18708     9.759    1500      1500      473       154        17.5             5.9           38.6          16.2      0.2763     0.1040
  3_59    -43.74342  28.18708     9.759    1500      1200      487       140        18.0             6.7           41.0          14.4      0.3050     0.0863
  3_60    -43.74342  28.18708     9.759     900      1350      390       114        23.4             4.8           38.4          14.2      0.1926     0.0726
  3_61    -43.74342  28.18708     9.759       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  3_62    -43.74342  28.18708     9.759       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  3_63    -43.74342  28.18708     9.759       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  3_64    -43.74342  28.18708     9.759       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  3_65    -43.74342  28.18708     9.759       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  3_66    -43.74342  28.18708     9.759       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
avg_  3   -43.74342  28.18708     9.759    1641      1426      469       225        16.8             9.7           34.3          20.1      0.4146     0.1798
std_  3   -43.74342  28.18708     9.759     468       526       60        84         3.6             3.5            4.8           5.0      0.2013     0.1156
  4_1     -43.78732  28.21257    14.911       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  4_2     -43.78732  28.21257    14.911       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  4_3     -43.78732  28.21257    14.911       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  4_4     -43.78732  28.21257    14.911       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  4_5     -43.78732  28.21257    14.911       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  4_6     -43.78732  28.21257    14.911       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  4_7     -43.78732  28.21257    14.911       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  4_8     -43.78732  28.21257    14.911    3450       900      683       258        11.2            16.0           48.7          19.1      0.2081     0.1037
  4_9     -43.78732  28.21257    14.911    2700      1650      781       348        16.1            11.9           57.2          22.7      0.3868     0.3298
  4_10    -43.78732  28.21257    14.911       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  4_11    -43.78732  28.21257    14.911       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  4_12    -43.78732  28.21257    14.911       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  4_13    -43.78732  28.21257    14.911    2250      2550     1076       616        25.6            13.6           39.8          26.0      1.1639     0.6642
  4_14    -43.78732  28.21257    14.911    2100      2700     1052       620        26.6            12.9           44.4          24.4      0.9583     0.7395
  4_15    -43.78732  28.21257    14.911       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  4_16    -43.78732  28.21257    14.911    3000      3150     1220       698        22.1            12.5           44.3          25.8      1.4475     0.9287
  4_17    -43.78732  28.21257    14.911    3000      3150     1200       706        21.8            12.6           36.4          25.4      1.4574     0.9990
  4_18    -43.78732  28.21257    14.911    2100      3150      988       713        25.2            12.8           40.5          24.2      0.9769     1.0592
  4_19    -43.78732  28.21257    14.911    2850      3300     1174       734        22.4            12.5           36.4          28.7      1.2562     1.1854
